id,name
1728,길이에 대한 분수만큼은 얼마인지 알아보기
1872,진분수
1873,대분수
1874,가분수
1875,자연수
1876,대분수를 가분수로 나타내기
1877,가분수를 대분수로 나타내기
1878,분모가 같은 가분수의 크기 비교
1880,분모가 같은 가분수와 대분수의 크기 비교
1933,몇 L 몇 mL와 몇 mL로 나타내기
1934,들이의 어림
1935,들이의 덧셈과 뺄셈
1961,몇 kg 몇 g과 몇 g으로 나타내기
1962,무게의 어림
1963,무게의 덧셈과 뺄셈
1982,표
1983,자료를 수집하여 표로 나타내는 방법
1984,그림그래프
1985,그림그래프로 나타내기
2010,삼각비
2047,억
2048,조
2049,뛰어 세기
2050,수의 크기 비교
2052,각의 크기 비교
2053,각의 크기
2054,각을 그리는 방법
2055,예각과 둔각
2063,각도 어림하기
2065,삼각형의 세 각의 크기의 합
2066,사각형의 네 각의 크기의 합
2067,세 자릿수와 몇십의 곱셈
2068,세 자릿수와 두 자릿수의 곱셈
2071,두 자릿수 나눗셈 (몫이 한 자릿수)
2072,세 자릿수와 두 자릿수의 나눗셈 (몫이 한 자릿수)
2073,세 자릿수와 두 자릿수의 나눗셈 (나누어떨어질 때)
2074,세 자릿수와 두 자릿수의 나눗셈 (나머지가 있을 때)
2075,평면도형 밀기
2076,평면도형 뒤집기
2077,평면도형 돌리기
2078,평면도형 뒤집고 돌리기
2079,무늬 꾸미기
2085,막대그래프
2086,막대그래프에서 알 수 있는 내용
2087,막대그래프 그리는 방법
2089,수 배열표에서 수의 규칙 찾기
2090,수의 배열에서 어떤 규칙이 있는지 알아보기
2091,도형의 배열에서 규칙 찾기
2092,계산식에서 규칙 찾기(1)
2093,계산식에서 규칙 찾기(2)
2094,규칙적인 계산식 찾기
2096,진분수의 뺄셈
2097,1에서 진분수 빼기
2098,대분수의 덧셈
2099,대분수의 뺄셈 (분수 부분끼리 뺄 수 있을 때)
2100,자연수에서 분수 빼기
2101,대분수의 뺄셈 (분수 부분끼리 뺄 수 없을 때)
2102,이등변삼각형
2103,이등변삼각형의 성질
2104,정삼각형의 성질
2105,예각삼각형
2107,소수 두 자릿수
2108,소수 세 자릿수
2110,소수의 크기 비교
2111,소수 사이의 관계
2112,소수 한 자릿수의 덧셈
2113,소수 한 자릿수의 뺄셈
2114,소수 두 자릿수의 덧셈
2115,소수 두 자릿수의 뺄셈
2116,수직과 수선
2117,평행과 평행선
2118,평행선 사이의 거리
2119,사다리꼴
2120,평행사변형
2121,평행사변형의 성질
2122,마름모
2123,마름모의 성질
2125,꺾은선그래프
2126,꺾은선그래프에서 알 수 있는 내용
2127,꺾은선그래프 그리는 방법
2129,다각형
2131,정다각형
2132,대각선
2133,다각형을 이용하여 모양 만들기
2134,다각형을 이용하여 모양 채우기
2334,타원의 방정식
2336,타원의 평행이동
2337,타원의 방정식의 일반형
2359,쌍곡선
2360,쌍곡선의 방정식
2361,쌍곡선의 점근선
2362,쌍곡선의 평행이동
2363,쌍곡선의 방정식의 일반형
2378,이차곡선과 직선의 위치 관계
2379,포물선의 접선의 방정식
2380,타원의 접선의 방정식
2381,쌍곡선의 접선의 방정식
2496,"특수각(30, 45, 60)의 삼각비"
